,Title,urls,Difficulty,Tags,Acceptance,Submission,Acceptance_Rate,Likes,Dislikes
340,413. Arithmetic Slices,/problems/arithmetic-slices,Medium,"['Array', 'Dynamic Programming']",138032,228968,60.3%,1939,208
341,414. Third Maximum Number,/problems/third-maximum-number,Easy,"['Array', 'Sorting']",245864,797592,30.8%,1151,1896
342,415. Add Strings,/problems/add-strings,Easy,"['Math', 'String', 'Simulation']",319616,647221,49.3%,1989,408
343,416. Partition Equal Subset Sum,/problems/partition-equal-subset-sum,Medium,"['Array', 'Dynamic Programming']",306569,676538,45.3%,4863,94
344,417. Pacific Atlantic Water Flow,/problems/pacific-atlantic-water-flow,Medium,"['Array', 'Depth-First Search', 'Breadth-First Search', 'Matrix']",132031,291823,45.2%,2396,610
345,419. Battleships in a Board,/problems/battleships-in-a-board,Medium,"['Array', 'Depth-First Search', 'Matrix']",120344,167493,71.8%,1045,645
346,420. Strong Password Checker,/problems/strong-password-checker,Hard,"['String', 'Greedy', 'Heap (Priority Queue)']",19580,143259,13.7%,365,1048
347,421. Maximum XOR of Two Numbers in an Array,/problems/maximum-xor-of-two-numbers-in-an-array,Medium,"['Array', 'Hash Table', 'Bit Manipulation', 'Trie']",85831,156873,54.7%,2265,224
348,423. Reconstruct Original Digits from English,/problems/reconstruct-original-digits-from-english,Medium,"['Hash Table', 'Math', 'String']",42826,83693,51.2%,354,1049
349,424. Longest Repeating Character Replacement,/problems/longest-repeating-character-replacement,Medium,"['Hash Table', 'String', 'Sliding Window']",125743,256203,49.0%,2747,128
350,427. Construct Quad Tree,/problems/construct-quad-tree,Medium,"['Array', 'Divide and Conquer', 'Tree', 'Matrix']",30492,48119,63.4%,357,523
351,429. N-ary Tree Level Order Traversal,/problems/n-ary-tree-level-order-traversal,Medium,"['Tree', 'Breadth-First Search']",112034,166173,67.4%,1094,67
352,430. Flatten a Multilevel Doubly Linked List,/problems/flatten-a-multilevel-doubly-linked-list,Medium,"['Linked List', 'Depth-First Search', 'Doubly-Linked List']",168999,295322,57.2%,2492,196
353,432. All O`one Data Structure,/problems/all-oone-data-structure,Hard,"['Hash Table', 'Linked List', 'Design', 'Doubly-Linked List']",42151,124638,33.8%,833,105
354,433. Minimum Genetic Mutation,/problems/minimum-genetic-mutation,Medium,"['Hash Table', 'String', 'Breadth-First Search']",41263,93553,44.1%,600,77
355,434. Number of Segments in a String,/problems/number-of-segments-in-a-string,Easy,['String'],97705,258758,37.8%,330,892
356,435. Non-overlapping Intervals,/problems/non-overlapping-intervals,Medium,"['Array', 'Dynamic Programming', 'Greedy', 'Sorting']",152249,339051,44.8%,2335,69
357,436. Find Right Interval,/problems/find-right-interval,Medium,"['Array', 'Binary Search', 'Sorting']",65909,135099,48.8%,801,206
358,437. Path Sum III,/problems/path-sum-iii,Medium,"['Tree', 'Depth-First Search', 'Binary Tree']",282507,580384,48.7%,5537,327
359,438. Find All Anagrams in a String,/problems/find-all-anagrams-in-a-string,Medium,"['Hash Table', 'String', 'Sliding Window']",374759,818339,45.8%,4526,208
360,440. K-th Smallest in Lexicographical Order,/problems/k-th-smallest-in-lexicographical-order,Hard,['Trie'],15607,52023,30.0%,440,64
361,441. Arranging Coins,/problems/arranging-coins,Easy,"['Math', 'Binary Search']",201155,468385,42.9%,1057,819
362,442. Find All Duplicates in an Array,/problems/find-all-duplicates-in-an-array,Medium,"['Array', 'Hash Table']",287416,411700,69.8%,3893,189
363,443. String Compression,/problems/string-compression,Medium,"['Two Pointers', 'String']",184154,407424,45.1%,1426,3460
364,445. Add Two Numbers II,/problems/add-two-numbers-ii,Medium,"['Linked List', 'Math', 'Stack']",252455,441925,57.1%,2576,205
365,446. Arithmetic Slices II - Subsequence,/problems/arithmetic-slices-ii-subsequence,Hard,"['Array', 'Dynamic Programming']",26560,77662,34.2%,765,72
366,447. Number of Boomerangs,/problems/number-of-boomerangs,Medium,"['Array', 'Hash Table', 'Math']",75025,142250,52.7%,486,779
367,448. Find All Numbers Disappeared in an Array,/problems/find-all-numbers-disappeared-in-an-array,Easy,"['Array', 'Hash Table']",401129,707732,56.6%,4500,313
368,449. Serialize and Deserialize BST,/problems/serialize-and-deserialize-bst,Medium,"['String', 'Tree', 'Depth-First Search', 'Breadth-First Search', 'Design', 'Binary Search Tree', 'Binary Tree']",160649,292819,54.8%,2092,99
369,450. Delete Node in a BST,/problems/delete-node-in-a-bst,Medium,"['Tree', 'Binary Search Tree', 'Binary Tree']",184014,398771,46.1%,3309,117
370,451. Sort Characters By Frequency,/problems/sort-characters-by-frequency,Medium,"['Hash Table', 'String', 'Sorting', 'Heap (Priority Queue)', 'Bucket Sort', 'Counting']",268715,411668,65.2%,2625,155
371,452. Minimum Number of Arrows to Burst Balloons,/problems/minimum-number-of-arrows-to-burst-balloons,Medium,"['Array', 'Greedy', 'Sorting']",120765,240406,50.2%,1930,66
372,453. Minimum Moves to Equal Array Elements,/problems/minimum-moves-to-equal-array-elements,Easy,"['Array', 'Math']",98450,190200,51.7%,956,1296
373,454. 4Sum II,/problems/4sum-ii,Medium,"['Array', 'Hash Table']",174548,317094,55.0%,2166,85
374,455. Assign Cookies,/problems/assign-cookies,Easy,"['Array', 'Greedy', 'Sorting']",129520,256785,50.4%,939,130
375,456. 132 Pattern,/problems/132-pattern,Medium,"['Array', 'Binary Search', 'Stack', 'Monotonic Stack', 'Ordered Set']",91977,299974,30.7%,2480,150
376,457. Circular Array Loop,/problems/circular-array-loop,Medium,"['Array', 'Hash Table', 'Two Pointers']",48775,159086,30.6%,135,123
377,458. Poor Pigs,/problems/poor-pigs,Hard,"['Math', 'Dynamic Programming', 'Combinatorics']",31407,57336,54.8%,560,1055
378,459. Repeated Substring Pattern,/problems/repeated-substring-pattern,Easy,"['String', 'String Matching']",201417,464073,43.4%,2596,258
379,460. LFU Cache,/problems/lfu-cache,Hard,"['Hash Table', 'Linked List', 'Design', 'Doubly-Linked List']",116144,310647,37.3%,2242,159
380,461. Hamming Distance,/problems/hamming-distance,Easy,['Bit Manipulation'],407003,554027,73.4%,2324,179
381,462. Minimum Moves to Equal Array Elements II,/problems/minimum-moves-to-equal-array-elements-ii,Medium,"['Array', 'Math', 'Sorting']",72259,129735,55.7%,976,63
382,463. Island Perimeter,/problems/island-perimeter,Easy,"['Array', 'Depth-First Search', 'Breadth-First Search', 'Matrix']",282654,420166,67.3%,2970,152
383,464. Can I Win,/problems/can-i-win,Medium,"['Math', 'Dynamic Programming', 'Bit Manipulation', 'Memoization', 'Game Theory', 'Bitmask']",64894,218409,29.7%,1441,230
384,466. Count The Repetitions,/problems/count-the-repetitions,Hard,"['String', 'Dynamic Programming']",12825,44587,28.8%,235,216
385,467. Unique Substrings in Wraparound String,/problems/unique-substrings-in-wraparound-string,Medium,"['String', 'Dynamic Programming']",31047,84849,36.5%,849,113
386,468. Validate IP Address,/problems/validate-ip-address,Medium,['String'],104951,412782,25.4%,521,2091
387,470. Implement Rand10() Using Rand7(),/problems/implement-rand10-using-rand7,Medium,"['Math', 'Rejection Sampling', 'Randomized', 'Probability and Statistics']",51689,111870,46.2%,730,245
388,472. Concatenated Words,/problems/concatenated-words,Hard,"['String', 'Dynamic Programming', 'Depth-First Search', 'Trie']",101076,228384,44.2%,1327,160
389,473. Matchsticks to Square,/problems/matchsticks-to-square,Medium,"['Array', 'Dynamic Programming', 'Backtracking', 'Bit Manipulation', 'Bitmask']",64246,160760,40.0%,1222,104
390,474. Ones and Zeroes,/problems/ones-and-zeroes,Medium,"['Array', 'String', 'Dynamic Programming']",87939,201865,43.5%,2069,298
391,475. Heaters,/problems/heaters,Medium,"['Array', 'Binary Search', 'Sorting']",76280,223988,34.0%,986,955
392,476. Number Complement,/problems/number-complement,Easy,['Bit Manipulation'],216944,332269,65.3%,1253,88
393,477. Total Hamming Distance,/problems/total-hamming-distance,Medium,"['Array', 'Math', 'Bit Manipulation']",75136,147328,51.0%,1214,68
394,478. Generate Random Point in a Circle,/problems/generate-random-point-in-a-circle,Medium,"['Math', 'Geometry', 'Rejection Sampling', 'Randomized']",30261,77429,39.1%,318,617
395,479. Largest Palindrome Product,/problems/largest-palindrome-product,Hard,['Math'],18525,61788,30.0%,104,1390
396,480. Sliding Window Median,/problems/sliding-window-median,Hard,"['Array', 'Hash Table', 'Sliding Window', 'Heap (Priority Queue)']",82060,206909,39.6%,1584,104
397,481. Magical String,/problems/magical-string,Medium,"['Two Pointers', 'String']",24981,51560,48.4%,134,792
398,482. License Key Formatting,/problems/license-key-formatting,Easy,['String'],173623,402448,43.2%,628,918
399,483. Smallest Good Base,/problems/smallest-good-base,Hard,"['Math', 'Binary Search']",14997,40779,36.7%,218,381
400,485. Max Consecutive Ones,/problems/max-consecutive-ones,Easy,['Array'],445225,836610,53.2%,1499,388
401,486. Predict the Winner,/problems/predict-the-winner,Medium,"['Array', 'Math', 'Dynamic Programming', 'Recursion', 'Game Theory']",91666,185704,49.3%,2130,115
402,488. Zuma Game,/problems/zuma-game,Hard,"['String', 'Backtracking']",17914,47176,38.0%,298,329
403,491. Increasing Subsequences,/problems/increasing-subsequences,Medium,"['Array', 'Hash Table', 'Backtracking', 'Bit Manipulation']",60705,124830,48.5%,1074,142
404,492. Construct the Rectangle,/problems/construct-the-rectangle,Easy,['Math'],67723,132448,51.1%,307,296
405,493. Reverse Pairs,/problems/reverse-pairs,Hard,"['Array', 'Binary Search', 'Divide and Conquer', 'Binary Indexed Tree', 'Segment Tree', 'Merge Sort', 'Ordered Set']",59987,214442,27.9%,1674,155
406,494. Target Sum,/problems/target-sum,Medium,"['Array', 'Dynamic Programming', 'Backtracking']",254401,558991,45.5%,4628,184
407,495. Teemo Attacking,/problems/teemo-attacking,Easy,"['Array', 'Simulation']",78971,140484,56.2%,66,7
408,496. Next Greater Element I,/problems/next-greater-element-i,Easy,"['Array', 'Hash Table', 'Stack', 'Monotonic Stack']",233409,349932,66.6%,212,18
409,497. Random Point in Non-overlapping Rectangles,/problems/random-point-in-non-overlapping-rectangles,Medium,"['Math', 'Binary Search', 'Reservoir Sampling', 'Prefix Sum', 'Ordered Set', 'Randomized']",31509,80522,39.1%,345,543
410,498. Diagonal Traverse,/problems/diagonal-traverse,Medium,"['Array', 'Matrix', 'Simulation']",135976,263025,51.6%,1403,429
411,500. Keyboard Row,/problems/keyboard-row,Easy,"['Array', 'Hash Table', 'String']",130607,196550,66.4%,692,784
412,501. Find Mode in Binary Search Tree,/problems/find-mode-in-binary-search-tree,Easy,"['Tree', 'Depth-First Search', 'Binary Search Tree', 'Binary Tree']",117290,262597,44.6%,1503,448
413,502. IPO,/problems/ipo,Hard,"['Array', 'Greedy', 'Sorting', 'Heap (Priority Queue)']",24634,58223,42.3%,563,53
414,503. Next Greater Element II,/problems/next-greater-element-ii,Medium,"['Array', 'Stack', 'Monotonic Stack']",150951,253361,59.5%,2859,98
415,504. Base 7,/problems/base-7,Easy,['Math'],70486,150850,46.7%,353,172
416,506. Relative Ranks,/problems/relative-ranks,Easy,"['Array', 'Sorting', 'Heap (Priority Queue)']",65561,124861,52.4%,89,3
417,507. Perfect Number,/problems/perfect-number,Easy,['Math'],84785,230738,36.7%,425,760
418,508. Most Frequent Subtree Sum,/problems/most-frequent-subtree-sum,Medium,"['Hash Table', 'Tree', 'Depth-First Search', 'Binary Tree']",89417,148508,60.1%,994,161
419,509. Fibonacci Number,/problems/fibonacci-number,Easy,"['Math', 'Dynamic Programming', 'Recursion', 'Memoization']",413106,609194,67.8%,1591,232
420,513. Find Bottom Left Tree Value,/problems/find-bottom-left-tree-value,Medium,"['Tree', 'Depth-First Search', 'Breadth-First Search', 'Binary Tree']",139202,219472,63.4%,1507,179
421,514. Freedom Trail,/problems/freedom-trail,Hard,"['String', 'Dynamic Programming', 'Depth-First Search', 'Breadth-First Search']",23559,51991,45.3%,567,28
422,515. Find Largest Value in Each Tree Row,/problems/find-largest-value-in-each-tree-row,Medium,"['Tree', 'Depth-First Search', 'Breadth-First Search', 'Binary Tree']",145101,230482,62.9%,1452,73
423,516. Longest Palindromic Subsequence,/problems/longest-palindromic-subsequence,Medium,"['String', 'Dynamic Programming']",184185,324144,56.8%,3524,222
424,517. Super Washing Machines,/problems/super-washing-machines,Hard,"['Array', 'Greedy']",19596,50448,38.8%,446,168
425,518. Coin Change 2,/problems/coin-change-2,Medium,"['Array', 'Dynamic Programming']",206859,387438,53.3%,3432,80
426,519. Random Flip Matrix,/problems/random-flip-matrix,Medium,"['Hash Table', 'Math', 'Reservoir Sampling', 'Randomized']",10927,28667,38.0%,230,80
427,520. Detect Capital,/problems/detect-capital,Easy,['String'],197870,365244,54.2%,877,299
428,521. Longest Uncommon Subsequence I,/problems/longest-uncommon-subsequence-i,Easy,['String'],73343,123815,59.2%,443,4903
429,522. Longest Uncommon Subsequence II,/problems/longest-uncommon-subsequence-ii,Medium,"['Array', 'Hash Table', 'Two Pointers', 'String', 'Sorting']",25592,74317,34.4%,236,694
430,523. Continuous Subarray Sum,/problems/continuous-subarray-sum,Medium,"['Array', 'Hash Table', 'Math', 'Prefix Sum']",206166,812109,25.4%,487,89
431,524. Longest Word in Dictionary through Deleting,/problems/longest-word-in-dictionary-through-deleting,Medium,"['Array', 'Two Pointers', 'String', 'Sorting']",110260,218855,50.3%,1083,304
432,525. Contiguous Array,/problems/contiguous-array,Medium,"['Array', 'Hash Table', 'Prefix Sum']",194295,441399,44.0%,3043,148
433,526. Beautiful Arrangement,/problems/beautiful-arrangement,Medium,"['Array', 'Dynamic Programming', 'Backtracking', 'Bit Manipulation', 'Bitmask']",96454,154393,62.4%,1433,227
434,528. Random Pick with Weight,/problems/random-pick-with-weight,Medium,"['Math', 'Binary Search', 'Prefix Sum', 'Randomized']",188294,417726,45.1%,1358,2965
435,529. Minesweeper,/problems/minesweeper,Medium,"['Array', 'Depth-First Search', 'Breadth-First Search', 'Matrix']",89404,143354,62.3%,982,698
436,530. Minimum Absolute Difference in BST,/problems/minimum-absolute-difference-in-bst,Easy,"['Tree', 'Depth-First Search', 'Breadth-First Search', 'Binary Search Tree', 'Binary Tree']",121321,218992,55.4%,1399,100
437,532. K-diff Pairs in an Array,/problems/k-diff-pairs-in-an-array,Medium,"['Array', 'Hash Table', 'Two Pointers', 'Binary Search', 'Sorting']",173499,480033,36.1%,1248,1618
438,535. Encode and Decode TinyURL,/problems/encode-and-decode-tinyurl,Medium,"['Hash Table', 'String', 'Design', 'Hash Function']",149609,180835,82.7%,953,1929
439,537. Complex Number Multiplication,/problems/complex-number-multiplication,Medium,"['Math', 'String', 'Simulation']",56571,82476,68.6%,329,855
440,538. Convert BST to Greater Tree,/problems/convert-bst-to-greater-tree,Medium,"['Tree', 'Depth-First Search', 'Binary Search Tree', 'Binary Tree']",174203,286538,60.7%,2772,146
441,539. Minimum Time Difference,/problems/minimum-time-difference,Medium,"['Array', 'Math', 'String', 'Sorting']",63898,121401,52.6%,723,176
442,540. Single Element in a Sorted Array,/problems/single-element-in-a-sorted-array,Medium,"['Array', 'Binary Search']",201171,346782,58.0%,2817,88
443,541. Reverse String II,/problems/reverse-string-ii,Easy,"['Two Pointers', 'String']",121455,243993,49.8%,655,1794
444,542. 01 Matrix,/problems/01-matrix,Medium,"['Array', 'Dynamic Programming', 'Breadth-First Search', 'Matrix']",137002,328410,41.7%,2623,137
445,543. Diameter of Binary Tree,/problems/diameter-of-binary-tree,Easy,"['Tree', 'Depth-First Search', 'Binary Tree']",510532,1008411,50.6%,5210,320
446,546. Remove Boxes,/problems/remove-boxes,Hard,"['Array', 'Dynamic Programming', 'Memoization']",19928,45152,44.1%,935,63
447,547. Number of Provinces,/problems/number-of-provinces,Medium,"['Depth-First Search', 'Breadth-First Search', 'Union Find', 'Graph']",293682,477467,61.5%,3361,194
448,551. Student Attendance Record I,/problems/student-attendance-record-i,Easy,['String'],116183,249772,46.5%,98,10
449,552. Student Attendance Record II,/problems/student-attendance-record-ii,Hard,['Dynamic Programming'],32232,84093,38.3%,792,141
450,553. Optimal Division,/problems/optimal-division,Medium,"['Array', 'Math', 'Dynamic Programming']",28527,49277,57.9%,209,1246
451,554. Brick Wall,/problems/brick-wall,Medium,"['Array', 'Hash Table']",90457,174299,51.9%,1537,77
452,556. Next Greater Element III,/problems/next-greater-element-iii,Medium,"['Math', 'Two Pointers', 'String']",71693,214852,33.4%,1333,277
453,557. Reverse Words in a String III,/problems/reverse-words-in-a-string-iii,Easy,"['Two Pointers', 'String']",270705,369478,73.2%,1559,109
454,558. Logical OR of Two Binary Grids Represented as Quad-Trees,/problems/logical-or-of-two-binary-grids-represented-as-quad-trees,Medium,"['Divide and Conquer', 'Tree']",9908,21529,46.0%,116,373
455,559. Maximum Depth of N-ary Tree,/problems/maximum-depth-of-n-ary-tree,Easy,"['Tree', 'Depth-First Search', 'Breadth-First Search']",172100,245908,70.0%,1504,62
456,560. Subarray Sum Equals K,/problems/subarray-sum-equals-k,Medium,"['Array', 'Hash Table', 'Prefix Sum']",518420,1186843,43.7%,8151,273
457,561. Array Partition I,/problems/array-partition-i,Easy,"['Array', 'Greedy', 'Sorting', 'Counting Sort']",276670,373360,74.1%,334,69
458,563. Binary Tree Tilt,/problems/binary-tree-tilt,Easy,"['Tree', 'Depth-First Search', 'Binary Tree']",123097,227418,54.1%,978,1631
459,564. Find the Closest Palindrome,/problems/find-the-closest-palindrome,Hard,"['Math', 'String']",27070,131734,20.5%,385,1011
460,565. Array Nesting,/problems/array-nesting,Medium,"['Array', 'Depth-First Search']",66985,119176,56.2%,1134,120
461,566. Reshape the Matrix,/problems/reshape-the-matrix,Easy,"['Array', 'Matrix', 'Simulation']",143501,231650,62.0%,1241,135
462,567. Permutation in String,/problems/permutation-in-string,Medium,"['Hash Table', 'Two Pointers', 'String', 'Sliding Window']",200566,449562,44.6%,2686,81
463,572. Subtree of Another Tree,/problems/subtree-of-another-tree,Easy,"['Tree', 'Depth-First Search', 'String Matching', 'Binary Tree', 'Hash Function']",335389,750452,44.7%,3753,183
464,575. Distribute Candies,/problems/distribute-candies,Easy,"['Array', 'Hash Table']",174492,269590,64.7%,780,1050
465,576. Out of Boundary Paths,/problems/out-of-boundary-paths,Medium,['Dynamic Programming'],55478,140347,39.5%,1186,173
466,581. Shortest Unsorted Continuous Subarray,/problems/shortest-unsorted-continuous-subarray,Medium,"['Array', 'Two Pointers', 'Stack', 'Greedy', 'Sorting', 'Monotonic Stack']",186047,560103,33.2%,4141,188
467,583. Delete Operation for Two Strings,/problems/delete-operation-for-two-strings,Medium,"['String', 'Dynamic Programming']",86550,165217,52.3%,1949,38
468,587. Erect the Fence,/problems/erect-the-fence,Hard,"['Array', 'Math', 'Geometry']",11268,30673,36.7%,299,204
469,589. N-ary Tree Preorder Traversal,/problems/n-ary-tree-preorder-traversal,Easy,"['Stack', 'Tree', 'Depth-First Search']",176382,236061,74.7%,1192,68
470,590. N-ary Tree Postorder Traversal,/problems/n-ary-tree-postorder-traversal,Easy,"['Stack', 'Tree', 'Depth-First Search']",142077,190565,74.5%,1128,75
471,591. Tag Validator,/problems/tag-validator,Hard,"['String', 'Stack']",9407,26614,35.3%,111,489
472,592. Fraction Addition and Subtraction,/problems/fraction-addition-and-subtraction,Medium,"['Math', 'String', 'Simulation']",24265,47780,50.8%,248,381
473,593. Valid Square,/problems/valid-square,Medium,"['Math', 'Geometry']",65755,151554,43.4%,510,636
474,594. Longest Harmonious Subsequence,/problems/longest-harmonious-subsequence,Easy,"['Array', 'Hash Table', 'Sorting']",99963,193739,51.6%,1244,129
475,595. Big Countries,/problems/big-countries,Easy,['Database'],228245,288632,79.0%,615,786
476,596. Classes More Than 5 Students,/problems/classes-more-than-5-students,Easy,['Database'],117289,299467,39.2%,312,812
477,598. Range Addition II,/problems/range-addition-ii,Easy,"['Array', 'Math']",48649,96183,50.5%,394,635
478,599. Minimum Index Sum of Two Lists,/problems/minimum-index-sum-of-two-lists,Easy,"['Array', 'Hash Table', 'String']",120202,229161,52.4%,863,256
479,600. Non-negative Integers without Consecutive Ones,/problems/non-negative-integers-without-consecutive-ones,Hard,['Dynamic Programming'],15515,44748,34.6%,589,81
480,601. Human Traffic of Stadium,/problems/human-traffic-of-stadium,Hard,['Database'],46079,98063,46.9%,257,435
481,605. Can Place Flowers,/problems/can-place-flowers,Easy,"['Array', 'Greedy']",185493,587439,31.6%,1602,499
482,606. Construct String from Binary Tree,/problems/construct-string-from-binary-tree,Easy,"['String', 'Tree', 'Depth-First Search', 'Binary Tree']",108515,192825,56.2%,1040,1412
483,609. Find Duplicate File in System,/problems/find-duplicate-file-in-system,Medium,"['Array', 'Hash Table', 'String']",84001,133161,63.1%,700,836
484,611. Valid Triangle Number,/problems/valid-triangle-number,Medium,"['Array', 'Two Pointers', 'Binary Search', 'Greedy', 'Sorting']",102553,207438,49.8%,1748,121
485,617. Merge Two Binary Trees,/problems/merge-two-binary-trees,Easy,"['Tree', 'Depth-First Search', 'Breadth-First Search', 'Binary Tree']",413299,543328,76.0%,4718,203
486,620. Not Boring Movies,/problems/not-boring-movies,Easy,['Database'],147310,207487,70.9%,378,340
487,621. Task Scheduler,/problems/task-scheduler,Medium,"['Array', 'Hash Table', 'Greedy', 'Sorting', 'Heap (Priority Queue)', 'Counting']",279478,528415,52.8%,5175,966
488,622. Design Circular Queue,/problems/design-circular-queue,Medium,"['Array', 'Linked List', 'Design', 'Queue']",128529,268341,47.9%,1178,146
489,623. Add One Row to Tree,/problems/add-one-row-to-tree,Medium,"['Tree', 'Depth-First Search', 'Breadth-First Search', 'Binary Tree']",72900,136880,53.2%,994,166
490,626. Exchange Seats,/problems/exchange-seats,Medium,['Database'],77583,115337,67.2%,487,316
491,627. Swap Salary,/problems/swap-salary,Easy,['Database'],151001,191268,78.9%,645,320
492,628. Maximum Product of Three Numbers,/problems/maximum-product-of-three-numbers,Easy,"['Array', 'Math', 'Sorting']",162345,347935,46.7%,1809,463
493,629. K Inverse Pairs Array,/problems/k-inverse-pairs-array,Hard,['Dynamic Programming'],23080,62356,37.0%,676,103
494,630. Course Schedule III,/problems/course-schedule-iii,Hard,"['Array', 'Greedy', 'Heap (Priority Queue)']",46487,132992,34.9%,1487,48
495,632. Smallest Range Covering Elements from K Lists,/problems/smallest-range-covering-elements-from-k-lists,Hard,"['Array', 'Hash Table', 'Greedy', 'Sliding Window', 'Sorting', 'Heap (Priority Queue)']",49946,90066,55.4%,1550,28
496,633. Sum of Square Numbers,/problems/sum-of-square-numbers,Medium,"['Math', 'Two Pointers', 'Binary Search']",87810,266456,32.9%,749,396
497,636. Exclusive Time of Functions,/problems/exclusive-time-of-functions,Medium,"['Array', 'Stack']",118590,210604,56.2%,1157,1891
498,637. Average of Levels in Binary Tree,/problems/average-of-levels-in-binary-tree,Easy,"['Tree', 'Depth-First Search', 'Breadth-First Search', 'Binary Tree']",207530,311066,66.7%,2178,210
499,638. Shopping Offers,/problems/shopping-offers,Medium,"['Array', 'Dynamic Programming', 'Backtracking', 'Bit Manipulation', 'Memoization', 'Bitmask']",39654,73709,53.8%,796,550
500,639. Decode Ways II,/problems/decode-ways-ii,Hard,"['String', 'Dynamic Programming']",53742,178252,28.9%,819,693
501,640. Solve the Equation,/problems/solve-the-equation,Medium,"['Math', 'String', 'Simulation']",29126,67802,43.0%,306,613
502,641. Design Circular Deque,/problems/design-circular-deque,Medium,"['Array', 'Linked List', 'Design', 'Queue']",31156,55076,56.6%,473,48
503,643. Maximum Average Subarray I,/problems/maximum-average-subarray-i,Easy,"['Array', 'Sliding Window']",106999,252633,42.3%,1099,142
504,645. Set Mismatch,/problems/set-mismatch,Easy,"['Array', 'Hash Table', 'Bit Manipulation', 'Sorting']",135864,332266,40.9%,1236,462
505,646. Maximum Length of Pair Chain,/problems/maximum-length-of-pair-chain,Medium,"['Array', 'Dynamic Programming', 'Greedy', 'Sorting']",84529,156505,54.0%,1580,91
506,647. Palindromic Substrings,/problems/palindromic-substrings,Medium,"['String', 'Dynamic Programming']",303286,480632,63.1%,4667,141
507,648. Replace Words,/problems/replace-words,Medium,"['Array', 'Hash Table', 'String', 'Trie']",75752,126283,59.9%,1076,146
508,649. Dota2 Senate,/problems/dota2-senate,Medium,"['String', 'Greedy', 'Queue']",15929,40270,39.6%,355,270
509,650. 2 Keys Keyboard,/problems/2-keys-keyboard,Medium,"['Math', 'Dynamic Programming']",82529,162183,50.8%,1957,138
510,652. Find Duplicate Subtrees,/problems/find-duplicate-subtrees,Medium,"['Tree', 'Depth-First Search', 'Breadth-First Search', 'Binary Tree']",104061,192943,53.9%,2253,254
511,653. Two Sum IV - Input is a BST,/problems/two-sum-iv-input-is-a-bst,Easy,"['Hash Table', 'Two Pointers', 'Tree', 'Depth-First Search', 'Breadth-First Search', 'Binary Search Tree', 'Binary Tree']",205481,362402,56.7%,2267,161
512,654. Maximum Binary Tree,/problems/maximum-binary-tree,Medium,"['Array', 'Divide and Conquer', 'Stack', 'Tree', 'Monotonic Stack', 'Binary Tree']",173770,211860,82.0%,2755,276
513,655. Print Binary Tree,/problems/print-binary-tree,Medium,"['Tree', 'Depth-First Search', 'Breadth-First Search', 'Binary Tree']",41464,72683,57.0%,26,38
514,657. Robot Return to Origin,/problems/robot-return-to-origin,Easy,"['String', 'Simulation']",294312,395583,74.4%,1377,700
515,658. Find K Closest Elements,/problems/find-k-closest-elements,Medium,"['Array', 'Two Pointers', 'Binary Search', 'Sorting', 'Heap (Priority Queue)']",198545,458116,43.4%,2901,348
516,659. Split Array into Consecutive Subsequences,/problems/split-array-into-consecutive-subsequences,Medium,"['Array', 'Hash Table', 'Greedy', 'Heap (Priority Queue)']",59837,133819,44.7%,1709,501
517,661. Image Smoother,/problems/image-smoother,Easy,"['Array', 'Matrix']",56594,107455,52.7%,314,1334
518,662. Maximum Width of Binary Tree,/problems/maximum-width-of-binary-tree,Medium,"['Tree', 'Depth-First Search', 'Breadth-First Search', 'Binary Tree']",116924,295899,39.5%,2443,424
519,664. Strange Printer,/problems/strange-printer,Hard,"['String', 'Dynamic Programming']",19099,44968,42.4%,616,57
520,665. Non-decreasing Array,/problems/non-decreasing-array,Medium,['Array'],155117,740226,20.9%,3171,646
521,667. Beautiful Arrangement II,/problems/beautiful-arrangement-ii,Medium,"['Array', 'Math']",44181,74875,59.0%,588,906
522,668. Kth Smallest Number in Multiplication Table,/problems/kth-smallest-number-in-multiplication-table,Hard,['Binary Search'],28019,57863,48.4%,778,25
523,669. Trim a Binary Search Tree,/problems/trim-a-binary-search-tree,Medium,"['Tree', 'Depth-First Search', 'Binary Search Tree', 'Binary Tree']",164422,255403,64.4%,2993,212
524,670. Maximum Swap,/problems/maximum-swap,Medium,"['Math', 'Greedy']",104767,229746,45.6%,1650,97
525,671. Second Minimum Node In a Binary Tree,/problems/second-minimum-node-in-a-binary-tree,Easy,"['Tree', 'Depth-First Search', 'Binary Tree']",108804,253223,42.9%,898,1169
526,672. Bulb Switcher II,/problems/bulb-switcher-ii,Medium,"['Math', 'Bit Manipulation', 'Depth-First Search', 'Breadth-First Search']",14865,29135,51.0%,179,1013
527,673. Number of Longest Increasing Subsequence,/problems/number-of-longest-increasing-subsequence,Medium,"['Array', 'Dynamic Programming', 'Binary Indexed Tree', 'Segment Tree']",83342,213852,38.9%,2475,129
528,674. Longest Continuous Increasing Subsequence,/problems/longest-continuous-increasing-subsequence,Easy,['Array'],156348,335452,46.6%,1271,149
529,675. Cut Off Trees for Golf Event,/problems/cut-off-trees-for-golf-event,Hard,"['Array', 'Breadth-First Search', 'Heap (Priority Queue)', 'Matrix']",45721,128617,35.5%,720,426
530,676. Implement Magic Dictionary,/problems/implement-magic-dictionary,Medium,"['Hash Table', 'String', 'Design', 'Trie']",52221,93771,55.7%,788,167
